FPC,AAA,HHH,NHHH,Name,Color,Gender,DBL,Temple,VVV,BBB,JJ,FFF,Eyesize,HG,PPP,,,,,,,,,,,,,,,
409717000189,781096521319,PERC,PERC,ALEXIS,BROWN HORN,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000196,751286079746,PERC,PERC,V111,DARK GUNMETAL,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000196,751286079746,PERC,PERC,V111,DARK GUNMETAL,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000202,751286079753,PERC,PERC,V111,SHINY SILVER,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000202,751286079753,PERC,PERC,V111,SHINY SILVER,MALE,20,135,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000219,751286102468,PERC,PERC,DJ,BLACK,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000219,751286102468,PERC,PERC,DJ,BLACK,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000226,751286102482,PERC,PERC,DJ,FOREST,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000226,751286102482,PERC,PERC,DJ,FOREST,UNISEX,17,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000233,751286141115,PERC,PERC,V132,BLACK,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000233,751286141115,PERC,PERC,V132,BLACK,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000240,751286141122,PERC,PERC,V132,TORTOISE,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000240,751286141122,PERC,PERC,V132,TORTOISE,MALE,20,140,8/26/2015,8/26/2015,PERC,JAPAN,51,0,A,,,,,,,,,,,,,,,
409717000257,751286142556,PERC,PERC,V133,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000257,751286142556,PERC,PERC,V133,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000264,751286142563,PERC,PERC,V133,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000264,751286142563,PERC,PERC,V133,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,JAPAN,55,0,A,,,,,,,,,,,,,,,
409717000271,751286227086,PERC,PERC,NEWSPRINT,BLACK,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000271,751286227086,PERC,PERC,NEWSPRINT,BLACK,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000288,751286227123,PERC,PERC,NEWSPRINT,NAVY,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000288,751286227123,PERC,PERC,NEWSPRINT,NAVY,UNISEX,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000295,751286228649,PERC,PERC,STENCIL KIT,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000295,751286228649,PERC,PERC,STENCIL KIT,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000301,751286228670,PERC,PERC,STENCIL KIT,NAVY,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000301,751286228670,PERC,PERC,STENCIL KIT,NAVY,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000318,751286244823,PERC,PERC,Q001,BLACK/RED,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000318,751286244823,PERC,PERC,Q001,BLACK/RED,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000325,751286244885,PERC,PERC,Q001,BLACK/BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000325,751286244885,PERC,PERC,Q001,BLACK/BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
409717000332,751286245097,PERC,PERC,Q006,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000332,751286245097,PERC,PERC,Q006,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000349,751286245158,PERC,PERC,Q006,GUNMETAL,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000349,751286245158,PERC,PERC,Q006,GUNMETAL,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,52,0,A,,,,,,,,,,,,,,,
409717000356,751286247053,PERC,PERC,V145,BLACK TORT,MALE,20,145,8/26/2015,8/26/2015,PERC,JAPAN,53,0,A,,,,,,,,,,,,,,,
409717000356,751286247053,PERC,PERC,V145,BLACK TORT,MALE,20,145,8/26/2015,8/26/2015,PERC,JAPAN,53,0,A,,,,,,,,,,,,,,,
409717000363,751286247077,PERC,PERC,V145,TORTOISE,MALE,20,145,8/26/2015,8/26/2015,PERC,JAPAN,53,0,A,,,,,,,,,,,,,,,
409717000363,751286247077,PERC,PERC,V145,TORTOISE,MALE,20,145,8/26/2015,8/26/2015,PERC,JAPAN,53,0,A,,,,,,,,,,,,,,,
409717000370,751286247992,PERC,PERC,Q004,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000370,751286247992,PERC,PERC,Q004,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000387,751286248012,PERC,PERC,Q004,BROWN,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000387,751286248012,PERC,PERC,Q004,BROWN,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000394,751286250831,PERC,PERC,Q005,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000394,751286250831,PERC,PERC,Q005,BLACK,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000400,751286250893,PERC,PERC,Q005,PURPLE,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000400,751286250893,PERC,PERC,Q005,PURPLE,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000417,751286253832,PERC,PERC,V148,ANTIQUE PEWTER,MALE,16,145,8/26/2015,8/26/2015,PERC,JAPAN,56,0,A,,,,,,,,,,,,,,,
409717000417,751286253832,PERC,PERC,V148,ANTIQUE PEWTER,MALE,16,145,8/26/2015,8/26/2015,PERC,JAPAN,56,0,A,,,,,,,,,,,,,,,
409717000424,751286253849,PERC,PERC,V148,MATTE BLACK,MALE,16,145,8/26/2015,8/26/2015,PERC,JAPAN,56,0,A,,,,,,,,,,,,,,,
409717000424,751286253849,PERC,PERC,V148,MATTE BLACK,MALE,16,145,8/26/2015,8/26/2015,PERC,JAPAN,56,0,A,,,,,,,,,,,,,,,
409717000431,751286255669,PERC,PERC,Q013,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000431,751286255669,PERC,PERC,Q013,BLACK,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000448,751286255720,PERC,PERC,Q013,NAVY,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000448,751286255720,PERC,PERC,Q013,NAVY,MALE,18,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000455,751286255768,PERC,PERC,V147,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,JAPAN,52,0,A,,,,,,,,,,,,,,,
409717000455,751286255768,PERC,PERC,V147,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,JAPAN,52,0,A,,,,,,,,,,,,,,,
409717000462,751286255782,PERC,PERC,V147,BRUSHED BROWN,MALE,19,140,8/26/2015,8/26/2015,PERC,JAPAN,52,0,A,,,,,,,,,,,,,,,
409717000462,751286255782,PERC,PERC,V147,BRUSHED BROWN,MALE,19,140,8/26/2015,8/26/2015,PERC,JAPAN,52,0,A,,,,,,,,,,,,,,,
409717000479,751286259087,PERC,PERC,P006 UF,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000479,751286259087,PERC,PERC,P006 UF,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000486,751286259094,PERC,PERC,P006 UF,TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000486,751286259094,PERC,PERC,P006 UF,TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,                                                                                                                                                                                             
409717000493,751286259100,PERC,PERC,P006 UF,WHITE TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000493,751286259100,PERC,PERC,P006 UF,WHITE TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000509,751286259124,PERC,PERC,P007 UF,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,48,0,A,,,,,,,,,,,,,,,
409717000509,751286259124,PERC,PERC,P007 UF,BLACK,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,48,0,A,,,,,,,,,,,,,,,
409717000516,751286259131,PERC,PERC,P007 UF,TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,48,0,A,,,,,,,,,,,,,,,
409717000516,751286259131,PERC,PERC,P007 UF,TORTOISE,MALE,19,140,8/26/2015,8/26/2015,PERC,CHINA,48,0,A,,,,,,,,,,,,,,,
409717000523,751286259162,PERC,PERC,P008 UF,BLACK STRIPE,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000523,751286259162,PERC,PERC,P008 UF,BLACK STRIPE,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000530,751286259179,PERC,PERC,P008 UF,TORTOISE,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000530,751286259179,PERC,PERC,P008 UF,TORTOISE,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000547,751286259193,PERC,PERC,P008 UF,YELLOW CRYSTAL,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000547,751286259193,PERC,PERC,P008 UF,YELLOW CRYSTAL,MALE,21,145,8/26/2015,8/26/2015,PERC,CHINA,45,0,A,,,,,,,,,,,,,,,
409717000554,751286260434,PERC,PERC,P001 UF,BLACK STRIPE,MALE,19,145,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000554,751286260434,PERC,PERC,P001 UF,BLACK STRIPE,MALE,19,145,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000561,751286260465,PERC,PERC,P001 UF,SMOKE,MALE,19,145,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000561,751286260465,PERC,PERC,P001 UF,SMOKE,MALE,19,145,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000578,751286260496,PERC,PERC,P002 UF,BLACK STRIPE,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000578,751286260496,PERC,PERC,P002 UF,BLACK STRIPE,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000585,751286260502,PERC,PERC,P002 UF,BROWN HORN,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000585,751286260502,PERC,PERC,P002 UF,BROWN HORN,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000592,751286260526,PERC,PERC,P002 UF,YELLOW CRYSTAL,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000592,751286260526,PERC,PERC,P002 UF,YELLOW CRYSTAL,MALE,22,150,8/26/2015,8/26/2015,PERC,CHINA,46,0,A,,,,,,,,,,,,,,,
409717000608,751286260557,PERC,PERC,P003 UF,BLACK STRIPE,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000608,751286260557,PERC,PERC,P003 UF,BLACK STRIPE,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000615,751286260564,PERC,PERC,P003 UF,BROWN HORN,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000615,751286260564,PERC,PERC,P003 UF,BROWN HORN,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000622,751286260571,PERC,PERC,P003 UF,CRYSTAL,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000622,751286260571,PERC,PERC,P003 UF,CRYSTAL,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000639,751286264425,PERC,PERC,Q019,BLACK,MALE,15,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000639,751286264425,PERC,PERC,Q019,BLACK,MALE,15,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000646,751286264449,PERC,PERC,Q019,BROWN,MALE,15,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
409717000646,751286264449,PERC,PERC,Q019,BROWN,MALE,15,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000653,751286264494,PERC,PERC,Q017,BLACK,MALE,17,145,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000653,751286264494,PERC,PERC,Q017,BLACK,MALE,17,145,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000660,751286264555,PERC,PERC,Q017,NAVY,MALE,17,145,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000660,751286264555,PERC,PERC,Q017,NAVY,MALE,17,145,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000677,751286264579,PERC,PERC,Q018,BLACK,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000677,751286264579,PERC,PERC,Q018,BLACK,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000684,751286264616,PERC,PERC,Q018,NAVY,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000684,751286264616,PERC,PERC,Q018,NAVY,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000691,751286264654,PERC,PERC,Q024,BLACK,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000691,751286264654,PERC,PERC,Q024,BLACK,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000707,751286264715,PERC,PERC,Q024,NAVY,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000707,751286264715,PERC,PERC,Q024,NAVY,MALE,17,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000714,751286264821,PERC,PERC,Q021,BLACK,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000714,751286264821,PERC,PERC,Q021,BLACK,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000721,751286264883,PERC,PERC,Q021,PURPLE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000721,751286264883,PERC,PERC,Q021,PURPLE,FEMALE,16,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000738,751286264906,PERC,PERC,Q020 UF,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000738,751286264906,PERC,PERC,Q020 UF,BLACK,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000745,751286264920,PERC,PERC,Q020 UF,BROWN,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000745,751286264920,PERC,PERC,Q020 UF,BROWN,MALE,15,135,8/26/2015,8/26/2015,PERC,CHINA,51,0,A,,,,,,,,,,,,,,,
409717000752,882851118307,PERC,PERC,SUBLIMITY 140,GUNMETAL,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000752,882851118307,PERC,PERC,SUBLIMITY 140,GUNMETAL,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000769,882851118314,PERC,PERC,SUBLIMITY 140,NAVY,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000769,882851118314,PERC,PERC,SUBLIMITY 140,NAVY,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,53,0,A,,,,,,,,,,,,,,,
409717000776,882851180304,PERC,PERC,ASTOR,BLACK/BLACK,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000776,882851180304,PERC,PERC,ASTOR,BLACK/BLACK,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000783,882851180311,PERC,PERC,ASTOR  02,BROWN/TORTOISE,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000783,882851180311,PERC,PERC,ASTOR  02,BROWN/TORTOISE,FEMALE,17,135,8/26/2015,8/26/2015,PERC,CHINA,49,0,A,,,,,,,,,,,,,,,
409717000790,882851186214,PERC,PERC,BARLOW RIDGE 02,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000790,882851186214,PERC,PERC,BARLOW RIDGE 02,BROWN,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000806,882851186221,PERC,PERC,BARLOW RIDGE 03,GOLD,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
409717000806,882851186221,PERC,PERC,BARLOW RIDGE 03,GOLD,MALE,18,140,8/26/2015,8/26/2015,PERC,CHINA,54,0,A,,,,,,,,,,,,,,,
409717000813,882851188119,PERC,PERC,CB CLEAR LAKE,SHINY BLACK,MALE,18,145,8/26/2015,8/26/2015,PERC,CHINA,55,0,A,,,,,,,,,,,,,,,
