FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717000950,PERC,L'AMY AMERCIA AT303,BERRY FADE,PLASTIC,51,18,135,,,,,,,,,,,,,,,
409717000943,PERC,L'AMY AMERCIA AT303,BLACK FADE,PLASTIC,51,18,135,,,,,,,,,,,,,,,
409717000974,PERC,L'AMY AMERCIA AT304,BROWN,PLASTIC,53,16,138,,,,,,,,,,,,,,,
409717000967,PERC,L'AMY AMERCIA AT304,BLACK,PLASTIC,53,16,138,,,,,,,,,,,,,,,
409717000929,PERC,L'AMY AMERCIA AT305,BLACK,PLASTIC,53,17,135,,,,,,,,,,,,,,,
409717000936,PERC,L'AMY AMERCIA AT305,OLIVE GREEN,PLASTIC,53,17,135,,,,,,,,,,,,,,,
409717001063,PERC,L'AMY ANN TAYLOR AT307,BLACK,PLASTIC,54,14,135,,,,,,,,,,,,,,,
409717000790,PERC,L'AMY AMERCIA BARLOW RIDGE 02,BROWN,METAL,54,18,140,,,,,,,,,,,,,,,
409717000806,PERC,L'AMY AMERCIA BARLOW RIDGE 03,GOLD,METAL,54,18,140,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
409717001155,PERC,L'AMY AMERCIA BENSON,BLACK/TEAL,METAL,52,17,135,,,,,,,,,,,,,,,
409717001162,PERC,L'AMY AMERCIA BENSON,BROWN/TORTOISE,METAL,52,17,135,,,,,,,,,,,,,,,
409717000868,PERC,L'AMY AMERCIA BLACK BUTTE  C02,BLACK/BLACK,METAL,59,20,150,,,,,,,,,,,,,,,
409717000851,PERC,L'AMY AMERCIA CB BLACK BUTTE,BROWN/BROWN,METAL,59,20,150,,,,,,,,,,,,,,,
409717000813,PERC,L'AMY COLUMBIA CB CLEAR LAKE,SHINY BLACK,METAL,55,18,145,,,,,,,,,,,,,,,
409717001131,PERC,L'AMY AMERCIA CENTRE,BLUE/TRANS CREAM,PLASTIC,50,16,135,,,,,,,,,,,,,,,
409717001148,PERC,L'AMY AMERCIA CENTRE,TORT/BURG-PINK,PLASTIC,50,16,135,,,,,,,,,,,,,,,
409717001247,PERC,MCGEE BADGLEY MISCHKA CHERISE,GOLD,METAL,53,16,132,,,,,,,,,,,,,,,
409717001117,PERC,L'AMY AMERCIA COLUMBIA,VIOLA FD,METAL,52,17,135,,,,,,,,,,,,,,,
